Node label	Matching Sequences
	OmyJC19ROGR_0309a
	OmyJC19ROGR_0306b
	OmyJC19ROGR_0290a
	OmyJC19ROGR_0189a
	OmyJC19ROGR_0214b
	OmyJC19ROGR_0262a
	OmyJC19ROGR_0191a
	OmyJC19ROGR_0215b
	OmyJC19ROGR_0195a
	OmyJC19ROGR_0195b
	OmyJC19ROGR_0204a
	OmyJC19ROGR_0244b
OmyJC19ROGR_0187a	OmyJC19ROGR_0187a
	OmyAC19ROGR_5812a
