Node label	Matching Sequences
	OmyJC18ROGR_0509b
	OmyJC18ROGR_0517a
	OmyJC18ROGR_0517b
	OmyJC18ROGR_0541a
	OmyJC18ROGR_0614a
	OmyJC18ROGR_0438a
	OmyJC18ROGR_0446a
	OmyJC18ROGR_0446b
	OmyJC18ROGR_0534b
	OmyJC18ROGR_0542a
	OmyJC18ROGR_0542b
	OmyJC18ROGR_0447a
	OmyJC18ROGR_0447b
	OmyJC18ROGR_0535a
	OmyJC18ROGR_0543a
	OmyJC18ROGR_0543b
	OmyJC18ROGR_0608a
	OmyJC18ROGR_0432a
	OmyJC18ROGR_0432b
	OmyJC18ROGR_0512a
	OmyJC18ROGR_0601a
	OmyJC18ROGR_0601b
	OmyJC18ROGR_0609a
	OmyJC18ROGR_0624a
	OmyJC18ROGR_0632a
	OmyJC18ROGR_0632b
	OmyJC18ROGR_0640a
	OmyJC18ROGR_0648a
	OmyJC18ROGR_1006a
	OmyJC18ROGR_1006b
	OmyJC18ROGR_1014a
	OmyJC18ROGR_1022a
	OmyJC18ROGR_0625a
	OmyJC18ROGR_0633a
	OmyJC18ROGR_0641a
	OmyJC18ROGR_0903a
	OmyJC18ROGR_1007a
	OmyJC18ROGR_1015a
	OmyJC18ROGR_1023a
	OmyJC18ROGR_1023b
	OmyJC18ROGR_0626a
	OmyJC18ROGR_0626b
	OmyJC18ROGR_0703a
	OmyJC18ROGR_0904a
	OmyJC18ROGR_0904b
	OmyJC18ROGR_1024a
	OmyJC18ROGR_1024b
	OmyJC18ROGR_0619a
	OmyJC18ROGR_0619b
	OmyJC18ROGR_0627a
	OmyJC18ROGR_0643a
	OmyJC18ROGR_0905b
	OmyJC18ROGR_1009a
	OmyJC18ROGR_1017a
	OmyJC18ROGR_1017b
	OmyJC18ROGR_0644a
	OmyJC18ROGR_1002b
	OmyJC18ROGR_1010a
	OmyJC18ROGR_1018a
	OmyJC18ROGR_1026a
	OmyJC18ROGR_1026b
	OmyJC18ROGR_0637a
	OmyJC18ROGR_1003a
	OmyJC18ROGR_1027a
	OmyJC18ROGR_1027b
	OmyJC18ROGR_0622a
	OmyJC18ROGR_0638b
	OmyJC18ROGR_0646a
	OmyJC18ROGR_0654a
	OmyJC18ROGR_0707a
	OmyJC18ROGR_0908a
	OmyJC18ROGR_0908b
	OmyJC18ROGR_1012a
	OmyJC18ROGR_1012b
	OmyJC18ROGR_0623a
	OmyJC18ROGR_0623b
	OmyJC18ROGR_0639a
	OmyJC18ROGR_0655a
	OmyJC18ROGR_0708a
	OmyJC18ROGR_0901a
	OmyJC18ROGR_0901b
	OmyJC18ROGR_0909a
	OmyJC18ROGR_1005a
	OmyJC18ROGR_1013a
	OmyJC18ROGR_1021a
	OmyJC18ROGR_1021b
	OmyAC19ROGR_0123a
	OmyAC19ROGR_0123b
	OmyJC18ROGR_1028a
	OmyJC18ROGR_1028b
	OmyAC19ROGR_0134a
	OmyAC19APPR_0108a
	OmyAC19APPR_0177a
	OmyAC19APPR_0177b
	OmyJC18ROGR_0130a
	OmyJC18ROGR_0130b
	OmyAC19APPR_0218a
	OmyAC19APPR_0218b
	OmyJC18ROGR_0650a
	OmyAC19ROGR_0125a
	OmyAC19ROGR_0125b
	OmyJC18ROGR_1029a
	OmyJC18ROGR_1029b
	OmyAC19ROGR_0135a
	OmyAC19ROGR_0135b
	OmyAC19ROGR_0182a
	OmyAC19ROGR_0182b
	OmyAC19APPR_0110a
	OmyAC19APPR_0110b
	OmyAC19APPR_0178a
	OmyAC19APPR_0178b
	OmyAC19APPR_0219a
	OmyAC19ROGR_0126a
	OmyAC19ROGR_0126b
	OmyAC19ROGR_0137a
	OmyAC19ROGR_0137b
	OmyAC19ROGR_0183a
	OmyAC19ROGR_0183b
	OmyAC19APPR_0111a
	OmyAC19APPR_0111b
	OmyAC19APPR_0212a
	OmyAC19APPR_0212b
	OmyJC18ROGR_0210a
	OmyJC18ROGR_0210b
	OmyAC19APPR_0220a
	OmyAC19APPR_0220b
	OmyAC19ROGR_0128a
	OmyAC19ROGR_0184a
	OmyAC19ROGR_0184b
	OmyAC19APPR_0114a
	OmyAC19APPR_0213a
	OmyAC19APPR_0221a
	OmyAC19APPR_0221b
	OmyJC18ROGR_0510a
	OmyAC19ROGR_0129a
	OmyAC19ROGR_0129b
	OmyJC18ROGR_1102a
	OmyAC19ROGR_0139a
	OmyAC19ROGR_0139b
	OmyAC19ROGR_0186a
	OmyAC19ROGR_0186b
	OmyAC19APPR_0117a
	OmyAC19APPR_0117b
	OmyAC19APPR_0214a
	OmyJC18ROGR_0250b
	OmyAC19APPR_0222a
	OmyJC18ROGR_0530a
	OmyJC18ROGR_1030a
	OmyAC19ROGR_0130a
	OmyAC19ROGR_0130b
	OmyAC19ROGR_0140a
	OmyAC19ROGR_0187a
	OmyAC19APPR_0120a
	OmyAC19APPR_0215a
	OmyJC18ROGR_0310a
	OmyJC18ROGR_0550a
	OmyJC18ROGR_0550b
	OmyAC19ROGR_0141a
	OmyAC19ROGR_0189a
	OmyAC19ROGR_0189b
	OmyAC19APPR_0122a
	OmyAC19APPR_0216a
	OmyAC19APPR_0216b
	OmyAC19APPR_0105a
	OmyAC19APPR_0105b
	OmyAC19APPR_0176a
	OmyAC19APPR_0176b
	OmyAC19APPR_0217a
	OmyAC19APPR_0217b
	OmyJC18ROGR_0350a
	OmyJC18ROGR_0350b
	OmyJC19ROGR_0291a
	OmyJC19ROGR_0291b
	OmyJC19ROGR_0331a
	OmyJC19ROGR_0331b
	OmyJC19ROGR_0316a
	OmyJC19ROGR_0316b
	OmyJC19ROGR_0324a
	OmyJC19ROGR_0324b
	OmyJC19ROGR_0285a
	OmyJC19ROGR_0285b
	OmyJC19ROGR_0293a
	OmyJC19ROGR_0317a
	OmyJC19ROGR_0317b
	OmyJC19ROGR_0030a
	OmyJC19ROGR_0190a
	OmyJC19ROGR_0286b
	OmyJC19ROGR_0302a
	OmyJC19ROGR_0302b
	OmyJC19ROGR_0310a
	OmyJC19ROGR_0326a
	OmyJC19ROGR_0326b
	OmyJC19ROGR_0050a
	OmyJC19ROGR_0295a
	OmyJC19ROGR_0295b
	OmyJC19ROGR_0303a
	OmyJC19ROGR_0319a
	OmyJC19ROGR_0319b
	OmyJC19ROGR_0288a
	OmyJC19ROGR_0304a
	OmyJC19ROGR_0320a
	OmyJC19ROGR_0328a
	OmyJC19ROGR_0289a
	OmyJC19ROGR_0314a
	OmyJC19ROGR_0322a
	OmyJC19ROGR_0322b
	OmyJC19ROGR_0205a
	OmyJC19ROGR_0229a
	OmyJC19ROGR_0233a
	OmyJC19ROGR_0237a
	OmyJC19ROGR_0237b
	OmyJC19ROGR_0277a
	OmyJC19ROGR_0277b
	OmyJC19ROGR_0214a
	OmyJC19ROGR_0230a
	OmyJC19ROGR_0254a
	OmyJC19ROGR_0254b
	OmyJC19ROGR_0270a
	OmyJC19ROGR_0270b
	OmyJC19ROGR_0207a
	OmyJC19ROGR_0207b
	OmyJC19ROGR_0215a
	OmyJC19ROGR_0223a
	OmyJC19ROGR_0231a
	OmyJC19ROGR_0239b
	OmyJC19ROGR_0247a
	OmyJC19ROGR_0247b
	OmyJC19ROGR_0263a
	OmyJC19ROGR_0271a
	OmyJC19ROGR_0271b
	OmyJC19ROGR_0279b
	OmyJC19ROGR_0200a
	OmyJC19ROGR_0240a
	OmyJC19ROGR_0240b
	OmyJC19ROGR_0248a
	OmyJC19ROGR_0280a
