	late-summer	early-summer	winter	halfounder
OJ18_0217b	0	0	0	1
OJ18_0225a	0	0	0	1
OJ18_0225b	0	0	0	1
OJ18_0233a	0	0	0	1
OJ18_0233b	0	0	0	1
OJ18_0241a	0	0	0	1
OJ18_0241b	0	0	0	1
OJ18_0107a	0	0	0	1
OJ18_0107b	0	0	0	1
OJ18_0115a	0	0	0	1
OJ18_0115b	0	0	0	1
OJ18_0123a	0	0	0	1
OJ18_0123b	0	0	0	1
OJ18_0131a	0	0	0	1
OJ18_0131b	0	0	0	1
OJ18_0139a	0	0	0	1
OJ18_0139b	0	0	0	1
OJ18_0147a	0	0	0	1
OJ18_0147b	0	0	0	1
OJ18_0202a	0	0	0	1
OJ18_0202b	0	0	0	1
OJ18_0218a	0	0	0	1
OJ18_0218b	0	0	0	1
OJ18_0226a	0	0	0	1
OJ18_0226b	0	0	0	1
OJ18_0108a	0	0	0	1
OJ18_0108b	0	0	0	1
OJ18_0116a	0	0	0	1
OJ18_0116b	0	0	0	1
OJ18_0132a	0	0	0	1
OJ18_0132b	0	0	0	1
OJ18_0140a	0	0	0	1
OJ18_0140b	0	0	0	1
OJ18_0148a	0	0	0	1
OJ18_0148b	0	0	0	1
OJ18_0203a	0	0	0	1
OJ18_0203b	0	0	0	1
OJ18_0211a	0	0	0	1
OJ18_0211b	0	0	0	1
OJ18_0219a	0	0	0	1
OJ18_0219b	0	0	0	1
OJ18_0227a	0	0	0	1
OJ18_0227b	0	0	0	1
OJ18_0235a	0	0	0	1
OJ18_0235b	0	0	0	1
OJ18_0242a	0	0	0	1
OJ18_0242b	0	0	0	1
OJ18_0305a	0	0	0	1
OJ18_0305b	0	0	0	1
OJ18_0313a	0	0	0	1
OJ18_0313b	0	0	0	1
OJ18_0321a	0	0	0	1
OJ18_0321b	0	0	0	1
OJ18_0329a	0	0	0	1
OJ18_0329b	0	0	0	1
OJ18_0337a	0	0	0	1
OJ18_0337b	0	0	0	1
OJ18_0345a	0	0	0	1
OJ18_0345b	0	0	0	1
OJ18_0353a	0	0	0	1
OJ18_0353b	0	0	0	1
OJ18_0403a	0	0	0	1
OJ18_0403b	0	0	0	1
OJ18_0411a	0	0	0	1
OJ18_0411b	0	0	0	1
