pop	clust1	clust2
halfpounder	0.4251	0.5749
halfpounder	0.4835	0.5165
halfpounder	0.5242	0.4758
halfpounder	0.4202	0.5798
halfpounder	0.7209	0.2791
halfpounder	0.5873	0.4127
halfpounder	0.5277	0.4723
halfpounder	0.4351	0.5649
halfpounder	0.6295	0.3705
halfpounder	0.4261	0.5739
halfpounder	0.5592	0.4408
halfpounder	0.5178	0.4822
halfpounder	0.4784	0.5216
halfpounder	0.5297	0.4703
halfpounder	0.4282	0.5718
halfpounder	0.6716	0.3284
halfpounder	0.4889	0.5111
halfpounder	0.1497	0.8503
halfpounder	0.4612	0.5388
halfpounder	0.7109	0.2891
halfpounder	0.6788	0.3212
halfpounder	0.5860	0.4140
halfpounder	0.6020	0.3980
halfpounder	0.3817	0.6183
halfpounder	0.6815	0.3185
halfpounder	0.4765	0.5235
halfpounder	0.4635	0.5365
halfpounder	0.5908	0.4092
halfpounder	0.5086	0.4914
halfpounder	0.3294	0.6706
halfpounder	0.4915	0.5085
halfpounder	0.4135	0.5865
halfpounder	0.5936	0.4064
halfpounder	0.6799	0.3201
halfpounder	0.4780	0.5220
halfpounder	0.6310	0.3690
halfpounder	0.4348	0.5652
halfpounder	0.6933	0.3067
halfpounder	0.5980	0.4020
halfpounder	0.6747	0.3253
halfpounder	0.2238	0.7762
halfpounder	0.4815	0.5185
halfpounder	0.5819	0.4181
halfpounder	0.5220	0.4780
halfpounder	0.3707	0.6293
halfpounder	0.5934	0.4066
halfpounder	0.5630	0.4370
halfpounder	0.6638	0.3362
halfpounder	0.7638	0.2362
halfpounder	0.5340	0.4660
halfpounder	0.6839	0.3161
halfpounder	0.5632	0.4368
halfpounder	0.4144	0.5856
halfpounder	0.6949	0.3051
halfpounder	0.5047	0.4953
halfpounder	0.2430	0.7570
halfpounder	0.3616	0.6384
halfpounder	0.4477	0.5523
halfpounder	0.4841	0.5159
halfpounder	0.6648	0.3352
halfpounder	0.5926	0.4074
halfpounder	0.7050	0.2950
halfpounder	0.6058	0.3942
halfpounder	0.5654	0.4346
halfpounder	0.7191	0.2809
halfpounder	0.5930	0.4070
halfpounder	0.3930	0.6070
halfpounder	0.4835	0.5165
halfpounder	0.4721	0.5279
halfpounder	0.5211	0.4789
halfpounder	0.3878	0.6122
halfpounder	0.3038	0.6962
halfpounder	0.5306	0.4694
halfpounder	0.5600	0.4400
halfpounder	0.5728	0.4272
halfpounder	0.6788	0.3212
halfpounder	0.6300	0.3700
halfpounder	0.3743	0.6257
halfpounder	0.3583	0.6417
halfpounder	0.4322	0.5678
halfpounder	0.4599	0.5401
halfpounder	0.4636	0.5364
halfpounder	0.6980	0.3020
halfpounder	0.7045	0.2955
halfpounder	0.4742	0.5258
halfpounder	0.6221	0.3779
halfpounder	0.5796	0.4204
halfpounder	0.7496	0.2504
halfpounder	0.4660	0.5340
halfpounder	0.5666	0.4334
halfpounder	0.6038	0.3962
halfpounder	0.3760	0.6240
halfpounder	0.3773	0.6227
halfpounder	0.3476	0.6524
halfpounder	0.5499	0.4501
halfpounder	0.4805	0.5195
halfpounder	0.5064	0.4936
halfpounder	0.4958	0.5042
halfpounder	0.4624	0.5376
halfpounder	0.5136	0.4864
halfpounder	0.4550	0.5450
halfpounder	0.6259	0.3741
halfpounder	0.5749	0.4251
halfpounder	0.4792	0.5208
halfpounder	0.5387	0.4613
halfpounder	0.3388	0.6612
halfpounder	0.6121	0.3879
halfpounder	0.6745	0.3255
halfpounder	0.7023	0.2977
halfpounder	0.5300	0.4700
halfpounder	0.5857	0.4143
halfpounder	0.6041	0.3959
halfpounder	0.6143	0.3857
halfpounder	0.3302	0.6698
halfpounder	0.6079	0.3921
halfpounder	0.4749	0.5251
halfpounder	0.4667	0.5333
halfpounder	0.3621	0.6379
halfpounder	0.6337	0.3663
halfpounder	0.4883	0.5117
halfpounder	0.2567	0.7433
halfpounder	0.4455	0.5545
halfpounder	0.6534	0.3466
halfpounder	0.6499	0.3501
halfpounder	0.6037	0.3963
halfpounder	0.5145	0.4855
halfpounder	0.4485	0.5515
halfpounder	0.4226	0.5774
halfpounder	0.4181	0.5819
halfpounder	0.6858	0.3142
halfpounder	0.5039	0.4961
halfpounder	0.6273	0.3727
halfpounder	0.5957	0.4043
halfpounder	0.6486	0.3514
halfpounder	0.6874	0.3126
halfpounder	0.3878	0.6122
halfpounder	0.2373	0.7627
