pop	clust1	clust2	clust3
halfpounder	0.1420	0.7143	0.1437
halfpounder	0.1416	0.1186	0.7398
halfpounder	0.2067	0.2497	0.5436
halfpounder	0.1431	0.1918	0.6651
halfpounder	0.4139	0.1682	0.4179
halfpounder	0.4983	0.2085	0.2932
halfpounder	0.3972	0.4144	0.1884
halfpounder	0.2490	0.0787	0.6723
halfpounder	0.4173	0.1545	0.4281
halfpounder	0.5032	0.1622	0.3346
halfpounder	0.0759	0.8546	0.0695
halfpounder	0.2707	0.3314	0.3979
halfpounder	0.1597	0.7035	0.1368
halfpounder	0.3638	0.4984	0.1378
halfpounder	0.5640	0.2471	0.1889
halfpounder	0.5030	0.2653	0.2317
halfpounder	0.6220	0.1984	0.1796
halfpounder	0.2963	0.2341	0.4696
halfpounder	0.5914	0.2606	0.1480
halfpounder	0.4835	0.2989	0.2176
halfpounder	0.3849	0.1929	0.4223
halfpounder	0.3660	0.3285	0.3056
halfpounder	0.5886	0.2365	0.1749
fall	0.4177	0.2614	0.3210
fall	0.2084	0.5355	0.2561
fall	0.6558	0.1970	0.1471
fall	0.5820	0.2789	0.1391
fall	0.5486	0.2957	0.1557
fall	0.3159	0.2201	0.4641
fall	0.5647	0.2030	0.2322
fall	0.5872	0.1760	0.2368
fall	0.6784	0.1112	0.2103
fall	0.4268	0.4278	0.1454
fall	0.2989	0.3091	0.3920
fall	0.4559	0.3525	0.1917
fall	0.6286	0.1793	0.1922
fall	0.2633	0.5338	0.2029
fall	0.3394	0.3604	0.3001
fall	0.5665	0.1105	0.3229
fall	0.1914	0.6803	0.1283
fall	0.1476	0.2160	0.6364
fall	0.3888	0.2410	0.3701
fall	0.3852	0.3650	0.2497
fall	0.1682	0.4043	0.4274
fall	0.2038	0.3575	0.4387
fall	0.4086	0.3786	0.2128
fall	0.5161	0.1944	0.2896
fall	0.4016	0.3585	0.2399
fall	0.3224	0.2838	0.3939
fall	0.5314	0.1418	0.3268
fall	0.4842	0.1703	0.3455
fall	0.5549	0.1209	0.3242
fall	0.0588	0.9010	0.0402
fall	0.0709	0.6196	0.3095
fall	0.4355	0.2811	0.2834
fall	0.0569	0.8761	0.0670
fall	0.2823	0.5288	0.1889
fall	0.4411	0.3032	0.2556
fall	0.2329	0.1797	0.5874
fall	0.4275	0.4495	0.1230
fall	0.7801	0.1148	0.1051
fall	0.2643	0.1336	0.6021
fall	0.2566	0.6514	0.0920
fall	0.3859	0.1781	0.4361
fall	0.3133	0.3777	0.3091
fall	0.4349	0.2199	0.3452
fall	0.1026	0.8205	0.0769
fall	0.1611	0.6273	0.2115
fall	0.4952	0.2516	0.2532
fall	0.1531	0.4276	0.4193
fall	0.4370	0.1889	0.3741
fall	0.2891	0.5991	0.1118
fall	0.4604	0.1421	0.3975
fall	0.4695	0.3069	0.2236
fall	0.1565	0.7622	0.0813
fall	0.3713	0.4519	0.1767
fall	0.1997	0.6643	0.1360
fall	0.5063	0.2076	0.2861
fall	0.3154	0.2088	0.4758
fall	0.2859	0.2957	0.4185
fall	0.5369	0.3135	0.1496
fall	0.7699	0.1190	0.1111
fall	0.1987	0.1356	0.6657
fall	0.3834	0.0899	0.5267
fall	0.4970	0.0877	0.4153
fall	0.3903	0.0809	0.5288
fall	0.5950	0.1217	0.2833
fall	0.3329	0.5117	0.1554
fall	0.4688	0.2133	0.3179
fall	0.6744	0.1122	0.2134
fall	0.4204	0.3976	0.1820
fall	0.5944	0.1635	0.2421
fall	0.6502	0.1439	0.2059
fall	0.3738	0.1425	0.4838
fall	0.2854	0.3179	0.3967
fall	0.2814	0.3413	0.3774
fall	0.1802	0.6566	0.1633
fall	0.3915	0.3752	0.2333
fall	0.4280	0.4097	0.1622
fall	0.5454	0.2330	0.2217
fall	0.6295	0.1307	0.2398
fall	0.3856	0.3524	0.2619
fall	0.1936	0.5820	0.2244
fall	0.5893	0.2489	0.1618
fall	0.4144	0.2301	0.3555
fall	0.4682	0.2186	0.3132
fall	0.2549	0.1826	0.5625
fall	0.2602	0.3592	0.3805
fall	0.2187	0.1598	0.6215
fall	0.2586	0.4518	0.2895
fall	0.5888	0.3133	0.0979
fall	0.4288	0.4135	0.1577
fall	0.2441	0.4225	0.3334
fall	0.2482	0.3011	0.4507
fall	0.3359	0.1401	0.5240
fall	0.1340	0.1962	0.6698
fall	0.5067	0.2352	0.2581
fall	0.5071	0.1651	0.3277
fall	0.5065	0.2621	0.2314
fall	0.1826	0.4791	0.3383
fall	0.1190	0.2687	0.6123
fall	0.3664	0.4150	0.2186
fall	0.4478	0.1905	0.3618
fall	0.5011	0.1516	0.3473
fall	0.2000	0.5215	0.2785
fall	0.4185	0.3694	0.2120
fall	0.2911	0.1257	0.5832
fall	0.4481	0.2977	0.2542
fall	0.1478	0.5058	0.3464
fall	0.4460	0.1944	0.3596
fall	0.6005	0.1250	0.2744
fall	0.7371	0.0888	0.1741
fall	0.5983	0.2209	0.1808
fall	0.5134	0.1756	0.3110
fall	0.1911	0.4488	0.3600
fall	0.1725	0.7157	0.1118
fall	0.1189	0.7718	0.1093
fall	0.0957	0.8218	0.0825
fall	0.1267	0.6594	0.2139
fall	0.5636	0.1020	0.3344
fall	0.4138	0.2958	0.2905
fall	0.3022	0.3757	0.3221
fall	0.5074	0.1176	0.3750
fall	0.4221	0.1092	0.4687
fall	0.2133	0.5710	0.2157
fall	0.7515	0.1142	0.1343
fall	0.3734	0.3233	0.3034
fall	0.0946	0.8177	0.0877
fall	0.6027	0.2812	0.1161
fall	0.2575	0.5231	0.2194
fall	0.2888	0.3933	0.3179
fall	0.3993	0.4456	0.1551
fall	0.3255	0.5547	0.1198
fall	0.2165	0.5800	0.2034
fall	0.6395	0.1747	0.1858
fall	0.1752	0.0632	0.7616
fall	0.1222	0.6190	0.2588
fall	0.2154	0.5312	0.2534
fall	0.3095	0.2654	0.4252
fall	0.3143	0.3523	0.3333
fall	0.3126	0.2433	0.4441
fall	0.3912	0.2531	0.3557
fall	0.4799	0.3764	0.1438
fall	0.2323	0.6511	0.1166
fall	0.5050	0.3694	0.1256
fall	0.5622	0.2872	0.1506
fall	0.1071	0.7303	0.1626
fall	0.2710	0.0721	0.6569
fall	0.3624	0.3009	0.3367
fall	0.5373	0.0894	0.3733
fall	0.1671	0.5252	0.3077
fall	0.3809	0.1770	0.4421
fall	0.7057	0.1637	0.1305
fall	0.1156	0.2708	0.6136
fall	0.5780	0.1685	0.2534
fall	0.1365	0.8013	0.0622
fall	0.1821	0.6816	0.1363
fall	0.2761	0.4225	0.3013
fall	0.5527	0.2734	0.1739
fall	0.2528	0.5235	0.2237
fall	0.5787	0.1630	0.2583
fall	0.5963	0.1826	0.2211
fall	0.6335	0.1044	0.2621
fall	0.3533	0.3923	0.2544
fall	0.1835	0.5814	0.2351
fall	0.1778	0.1663	0.6559
fall	0.5421	0.2692	0.1888
fall	0.0896	0.8421	0.0683
fall	0.7235	0.1468	0.1298
fall	0.2535	0.1093	0.6372
fall	0.0897	0.8209	0.0894
fall	0.6434	0.1875	0.1691
fall	0.5669	0.2169	0.2162
fall	0.1195	0.7984	0.0820
fall	0.2381	0.1090	0.6529
fall	0.4329	0.2396	0.3275
fall	0.2452	0.6273	0.1275
fall	0.0866	0.8455	0.0679
fall	0.0765	0.7030	0.2205
fall	0.3328	0.5161	0.1511
fall	0.6746	0.1673	0.1581
fall	0.6586	0.2108	0.1306
fall	0.1217	0.6955	0.1828
fall	0.2534	0.5350	0.2116
fall	0.6391	0.2479	0.1130
fall	0.2019	0.6645	0.1336
fall	0.3422	0.1282	0.5296
fall	0.4255	0.2758	0.2986
fall	0.6370	0.1567	0.2064
fall	0.4249	0.4373	0.1378
fall	0.3377	0.3337	0.3286
halfpounder	0.2054	0.4504	0.3442
halfpounder	0.3727	0.2830	0.3442
halfpounder	0.4895	0.2725	0.2381
halfpounder	0.1103	0.6080	0.2817
halfpounder	0.1841	0.6686	0.1473
halfpounder	0.1348	0.7948	0.0704
halfpounder	0.3571	0.4563	0.1865
halfpounder	0.1325	0.0858	0.7817
halfpounder	0.1221	0.7719	0.1060
halfpounder	0.4366	0.2774	0.2859
halfpounder	0.1051	0.8186	0.0763
halfpounder	0.6205	0.2564	0.1231
halfpounder	0.1658	0.2897	0.5445
halfpounder	0.6658	0.0902	0.2440
halfpounder	0.3520	0.3530	0.2950
halfpounder	0.3187	0.5107	0.1706
halfpounder	0.2228	0.4206	0.3565
halfpounder	0.1176	0.7413	0.1411
halfpounder	0.6445	0.0931	0.2623
halfpounder	0.3746	0.2413	0.3840
halfpounder	0.4349	0.3214	0.2438
halfpounder	0.5729	0.2047	0.2224
halfpounder	0.2199	0.2969	0.4833
halfpounder	0.1228	0.8135	0.0637
halfpounder	0.1848	0.5952	0.2201
halfpounder	0.4119	0.3450	0.2431
halfpounder	0.5580	0.2428	0.1991
halfpounder	0.4579	0.1320	0.4102
halfpounder	0.1150	0.1211	0.7639
halfpounder	0.2197	0.5458	0.2345
halfpounder	0.6668	0.1452	0.1879
halfpounder	0.2198	0.3564	0.4239
halfpounder	0.4640	0.1937	0.3423
halfpounder	0.6888	0.1133	0.1979
halfpounder	0.3684	0.2950	0.3366
halfpounder	0.3705	0.2287	0.4008
halfpounder	0.3040	0.0967	0.5993
halfpounder	0.3503	0.1329	0.5168
halfpounder	0.4608	0.1793	0.3600
halfpounder	0.1882	0.5386	0.2732
halfpounder	0.2235	0.5317	0.2448
halfpounder	0.2251	0.2807	0.4941
halfpounder	0.5336	0.1774	0.2890
halfpounder	0.5099	0.1387	0.3514
halfpounder	0.5241	0.2458	0.2301
halfpounder	0.1292	0.1974	0.6734
halfpounder	0.1425	0.0920	0.7655
halfpounder	0.5372	0.2845	0.1783
halfpounder	0.1211	0.7831	0.0958
halfpounder	0.2874	0.4756	0.2370
halfpounder	0.4234	0.2569	0.3198
halfpounder	0.2455	0.0892	0.6653
halfpounder	0.4919	0.2998	0.2083
halfpounder	0.6825	0.1352	0.1823
halfpounder	0.2372	0.1610	0.6018
halfpounder	0.2623	0.5585	0.1792
halfpounder	0.2302	0.3750	0.3948
halfpounder	0.3675	0.1640	0.4685
halfpounder	0.3124	0.4121	0.2756
halfpounder	0.2874	0.4257	0.2869
halfpounder	0.2806	0.1909	0.5285
halfpounder	0.2494	0.3022	0.4484
halfpounder	0.2306	0.3232	0.4462
halfpounder	0.0697	0.8656	0.0647
halfpounder	0.5153	0.2493	0.2353
halfpounder	0.3062	0.3207	0.3731
halfpounder	0.1049	0.7480	0.1471
halfpounder	0.2195	0.4721	0.3085
halfpounder	0.1988	0.4935	0.3078
halfpounder	0.2272	0.2234	0.5494
halfpounder	0.4731	0.3106	0.2163
halfpounder	0.2143	0.5772	0.2085
halfpounder	0.2344	0.2013	0.5643
halfpounder	0.4343	0.1867	0.3789
halfpounder	0.4275	0.3018	0.2706
halfpounder	0.3168	0.2855	0.3977
halfpounder	0.5218	0.2645	0.2137
halfpounder	0.3886	0.2292	0.3822
halfpounder	0.6336	0.2082	0.1582
