pop	clust1	clust2	clust3	clust4
halfpounder	0.0644	0.8571	0.0291	0.0493
halfpounder	0.1542	0.1710	0.3920	0.2828
halfpounder	0.0996	0.2545	0.5774	0.0686
halfpounder	0.3192	0.1385	0.0943	0.4480
halfpounder	0.1897	0.1919	0.4793	0.1391
halfpounder	0.4841	0.0436	0.1396	0.3328
halfpounder	0.0937	0.5276	0.2278	0.1509
halfpounder	0.1283	0.6084	0.1093	0.1540
halfpounder	0.6084	0.0856	0.1189	0.1872
halfpounder	0.1327	0.2836	0.3380	0.2457
halfpounder	0.1825	0.0252	0.6140	0.1783
halfpounder	0.1652	0.2069	0.5038	0.1242
halfpounder	0.2355	0.0588	0.2350	0.4706
halfpounder	0.2018	0.1657	0.3867	0.2458
halfpounder	0.2607	0.1143	0.1683	0.4566
halfpounder	0.0403	0.7683	0.1479	0.0436
halfpounder	0.2517	0.4111	0.0556	0.2816
halfpounder	0.0653	0.8505	0.0388	0.0454
halfpounder	0.2296	0.0740	0.3087	0.3877
halfpounder	0.5807	0.0593	0.1965	0.1635
halfpounder	0.2607	0.2562	0.2725	0.2106
halfpounder	0.1993	0.1827	0.3902	0.2278
halfpounder	0.2284	0.1517	0.3823	0.2376
halfpounder	0.2168	0.2622	0.3450	0.1761
halfpounder	0.0386	0.8860	0.0353	0.0401
halfpounder	0.0840	0.7126	0.0884	0.1150
halfpounder	0.0747	0.0521	0.7663	0.1068
halfpounder	0.0943	0.1414	0.5447	0.2196
halfpounder	0.0853	0.1004	0.7219	0.0924
halfpounder	0.1213	0.0747	0.3053	0.4987
halfpounder	0.3660	0.1151	0.1809	0.3380
halfpounder	0.2856	0.2824	0.1131	0.3188
halfpounder	0.1260	0.0354	0.6063	0.2323
halfpounder	0.4409	0.0720	0.2127	0.2744
halfpounder	0.5620	0.0744	0.1558	0.2078
halfpounder	0.0522	0.8572	0.0403	0.0503
halfpounder	0.3139	0.2039	0.2959	0.1863
halfpounder	0.1523	0.6830	0.0774	0.0873
halfpounder	0.2135	0.4153	0.0670	0.3042
halfpounder	0.5684	0.1206	0.0897	0.2213
halfpounder	0.4198	0.1441	0.1165	0.3197
halfpounder	0.5311	0.1020	0.0802	0.2868
halfpounder	0.1706	0.1220	0.3908	0.3166
